query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
0,1.003059,33.690000,37.757532,-122.470175,0.310448,8.485489
1,1.008920,22.210000,37.776281,-122.419612,0.490196,1.954652
2,1.032376,322.250000,37.739768,-122.466903,0.242000,8.507852
3,1.005440,34.680000,37.758457,-122.463790,0.024691,5.045664
4,1.036770,224.610000,37.758837,-122.414712,0.046414,5.496014
5,1.023995,97.900000,37.732547,-122.481901,0.048458,3.005721
6,1.019428,251.300000,37.773055,-122.418725,0.695804,11.187622
7,1.020935,21.720000,37.778076,-122.486754,0.025641,0.863903
8,1.027388,173.530000,37.798275,-122.425629,0.003876,5.516602
9,1.009611,98.840000,37.740531,-122.456795,0.189964,8.778031
10,1.012775,104.210000,37.743643,-122.463532,0.005693,6.949114
11,1.006934,87.620000,37.718628,-122.426363,0.111628,9.556243
12,1.031013,239.100000,37.781013,-122.404511,0.019108,6.800557
13,1.004921,16.840000,37.743004,-122.477859,0.004630,2.851600
14,1.026988,170.830000,37.755952,-122.436909,0.676568,5.248955
15,1.002430,14.620000,37.745682,-122.452355,0.287009,5.114815
16,1.026444,119.170000,37.722870,-122.471356,0.005076,3.850913
18,1.018515,245.390000,37.783643,-122.459063,0.174174,10.252650
19,1.012187,162.900000,37.734195,-122.405442,0.797428,10.252132
20,1.006935,17.160000,37.752548,-122.392663,0.008929,1.725307
23,1.023120,147.590000,37.739858,-122.424378,0.455253,5.747043
24,1.003031,12.880000,37.785316,-122.431308,0.046512,3.259630
25,1.000603,2.100000,37.763371,-122.403387,0.712230,3.203657
26,1.039259,424.980000,37.784523,-122.432967,0.001543,8.608941
28,1.060789,401.700000,37.736629,-122.424287,0.160535,5.954792
29,1.018984,264.620000,37.782429,-122.474120,0.011220,10.948344
31,1.013844,96.780000,37.761692,-122.438292,0.435262,5.595579
32,1.028895,67.770000,37.773533,-122.421243,0.185841,2.037651
34,1.004686,31.710000,37.743445,-122.463777,0.792683,5.635371
35,1.000726,9.870000,37.785729,-122.406277,0.818681,8.014042
36,1.014492,149.740000,37.744030,-122.422575,0.132530,8.146901
37,1.018433,128.070000,37.771127,-122.424435,0.291971,5.009202
38,1.002766,6.300000,37.758925,-122.442294,0.971292,1.316808
39,1.001960,13.250000,37.762046,-122.471561,0.006116,4.997476
41,1.056268,198.100000,37.777426,-122.416513,0.188235,3.172120
42,1.001224,6.870000,37.722942,-122.444808,0.657795,4.816096
43,1.009499,91.250000,37.788374,-122.400429,0.001808,8.035798
44,1.002599,29.560000,37.771127,-122.424435,0.248264,9.377495
45,1.006833,29.720000,37.720735,-122.446626,0.140794,3.801035
46,1.027818,165.750000,37.781685,-122.492303,0.168874,5.459490
47,1.010926,20.800000,37.745431,-122.451780,0.717949,1.553579
48,1.006581,58.520000,37.776939,-122.429601,0.102326,7.966418
49,1.018288,177.200000,37.775098,-122.419253,0.159091,8.525090
52,1.026811,215.730000,37.777643,-122.416398,0.588372,6.299174
53,1.001374,4.240000,37.745682,-122.452355,0.325444,2.758801
54,1.029022,330.830000,37.777397,-122.416190,0.297521,10.375003
55,1.001878,22.290000,37.782517,-122.447336,0.250294,9.669538
56,1.004617,38.700000,37.746239,-122.461799,0.556962,6.885305
57,1.019530,133.330000,37.764038,-122.433424,0.314465,6.281371
58,1.000147,2.320000,37.751230,-122.461276,0.561346,9.286105
59,1.002459,10.680000,37.765280,-122.445995,0.650685,2.935381
61,1.004442,38.820000,37.766088,-122.461881,0.802111,6.448496
62,1.002662,13.850000,37.709557,-122.457638,0.140468,5.080640
63,1.010278,109.990000,37.758457,-122.463790,0.337641,8.229328
64,1.018311,215.480000,37.723982,-122.402104,0.188679,9.910749
66,1.003260,12.650000,37.734271,-122.482021,0.041176,3.086277
67,1.001780,25.200000,37.769554,-122.391093,0.663300,4.981138
69,1.000504,4.400000,37.765459,-122.477167,0.406312,5.746314
70,1.050035,157.400000,37.752032,-122.470582,0.006993,2.604244
71,1.011529,78.210000,37.789015,-122.440519,0.453061,5.215438
72,1.038032,152.440000,37.772416,-122.422638,0.572414,3.793599
73,1.001075,12.410000,37.771127,-122.424435,0.300151,9.190659
74,1.009956,36.790000,37.770678,-122.426712,0.122449,3.136169
76,1.031177,322.680000,37.728817,-122.431235,0.545249,9.341559
77,1.008783,36.710000,37.711123,-122.455767,0.003704,3.823391
80,1.001179,2.480000,37.784484,-122.432959,0.029703,1.737167
81,1.030050,198.820000,37.762033,-122.416181,0.523985,5.550691
82,1.034348,321.510000,37.746362,-122.487763,0.002114,7.429878
83,1.000895,4.030000,37.742953,-122.455253,0.242915,3.689222
84,1.001466,14.170000,37.775820,-122.495190,0.002315,7.790415
85,1.004537,69.000000,37.728703,-122.373148,0.037736,12.065483
86,1.007857,68.910000,37.771127,-122.424435,0.313853,6.821952
87,1.034727,245.490000,37.788474,-122.402436,0.033003,6.878836
89,1.000383,4.810000,37.772994,-122.421956,0.261438,10.968877
90,1.002407,15.460000,37.774181,-122.429242,0.050193,4.357541
91,1.007413,41.790000,37.739089,-122.466138,0.662404,4.554652
92,1.035344,213.200000,37.794148,-122.406830,0.007435,5.122757
93,1.014243,72.930000,37.762324,-122.465136,0.293333,3.800514
94,1.013065,54.950000,37.729055,-122.492516,0.006579,3.319837
95,1.008211,60.940000,37.737370,-122.406814,0.229091,6.351189
97,1.003524,32.550000,37.764387,-122.435364,0.185185,7.430613
98,1.012969,154.960000,37.783643,-122.459063,0.323980,9.054154
99,1.017133,199.720000,37.711675,-122.446195,0.032143,9.291356
101,1.045466,349.450000,37.746552,-122.458633,0.044643,5.798674
103,1.012512,72.970000,37.772194,-122.452358,0.642633,4.342405
104,1.004947,44.390000,37.715662,-122.441804,0.222222,7.233965
105,1.009462,55.400000,37.721726,-122.472670,0.004762,4.629033
106,1.013380,78.480000,37.719784,-122.464470,0.723724,4.218848
107,1.000424,3.100000,37.771127,-122.424435,0.199501,5.969576
108,1.002230,31.420000,37.733808,-122.398488,0.005025,10.216159
109,1.001143,5.470000,37.740238,-122.435777,0.345515,3.335794
110,1.001329,12.770000,37.743839,-122.424476,0.251152,7.470091
112,1.022882,218.700000,37.748184,-122.415028,0.041825,7.812616
113,1.011687,68.880000,37.723832,-122.391599,0.009009,4.527125
114,1.020931,165.980000,37.781685,-122.492303,0.160665,7.393053
115,1.030772,382.250000,37.739868,-122.423607,0.421338,10.928129
116,1.000824,3.710000,37.773721,-122.421246,0.787313,3.945827
117,1.014837,147.000000,37.739858,-122.424378,0.197452,8.078839
118,1.002980,25.600000,37.761532,-122.481282,0.030162,6.279325
119,1.002944,7.480000,37.756010,-122.409338,0.330000,1.799205
120,1.018821,145.820000,37.779816,-122.421896,0.214493,6.495532
121,1.041883,452.260000,37.761271,-122.428496,0.172932,9.340438
122,1.004745,39.680000,37.749035,-122.431529,0.529297,6.440590
123,1.009576,98.390000,37.775098,-122.419253,0.157068,8.680336
124,1.007818,56.720000,37.798750,-122.444324,0.136808,6.676636
125,1.033614,237.710000,37.739615,-122.412173,0.072072,6.009569
126,1.014466,58.850000,37.778271,-122.482471,0.006410,3.763363
127,1.020315,100.580000,37.773122,-122.422114,0.699634,3.964608
128,1.010002,79.660000,37.753431,-122.426486,0.636856,6.064793
129,1.011681,129.510000,37.739881,-122.424048,0.503297,9.494966
131,1.005530,37.920000,37.768295,-122.407807,0.263804,5.180329
132,1.003050,13.310000,37.798475,-122.447215,0.880460,2.936913
133,1.014916,85.050000,37.804858,-122.438807,0.004348,4.434813
135,1.001023,12.740000,37.730735,-122.439848,0.443810,10.149314
136,1.003873,30.320000,37.774679,-122.389950,0.328571,7.053862
137,1.092765,881.190000,37.729608,-122.439013,0.066802,8.552128
138,1.003516,27.900000,37.773970,-122.411874,0.007026,6.636373
140,1.021591,258.990000,37.738006,-122.407019,0.112721,10.041095
141,1.002264,21.850000,37.748078,-122.422550,0.328947,8.306746
143,1.000820,8.560000,37.761848,-122.471547,0.849206,7.942045
144,1.007633,36.510000,37.726756,-122.470856,0.002519,3.264657
145,1.003281,37.280000,37.734823,-122.471563,0.903743,10.151073
148,1.000182,0.840000,37.766136,-122.430754,0.371681,4.488644
149,1.001379,12.530000,37.761646,-122.477087,0.495088,7.062464
150,1.003564,33.130000,37.757532,-122.470175,0.625000,6.455693
151,1.000389,0.630000,37.797915,-122.406325,0.362637,1.182000
152,1.014183,69.240000,37.734210,-122.488913,0.414343,3.928359
154,1.030910,196.980000,37.761032,-122.446546,0.364742,4.845427
155,1.012282,16.190000,37.761692,-122.438292,0.194444,0.833456
156,1.000239,0.480000,37.798738,-122.437642,0.333333,1.496173
159,1.015580,192.590000,37.723979,-122.456539,0.329803,10.091623
160,1.013057,29.010000,37.738458,-122.469614,0.088235,1.672622
161,1.026310,144.230000,37.772624,-122.421495,0.116935,4.876888
162,1.000647,7.750000,37.746308,-122.424563,0.182353,9.200406
163,1.034717,419.950000,37.721115,-122.475368,0.049767,9.566856
164,1.027036,244.270000,37.791279,-122.422731,0.008333,7.149335
165,1.010811,50.920000,37.804946,-122.439290,0.005780,3.976324
168,1.015954,120.210000,37.763761,-122.433635,0.345133,6.404254
169,1.004302,40.490000,37.762033,-122.415016,0.350000,8.540271
170,1.002775,18.910000,37.743059,-122.435582,0.152589,5.334770
171,1.016571,125.180000,37.757981,-122.453027,0.334728,6.345630
172,1.006349,49.200000,37.745154,-122.429216,0.469453,5.581679
174,1.000583,3.100000,37.773414,-122.421570,0.548780,4.602230
175,1.023768,125.250000,37.746744,-122.444075,0.122137,4.128949
176,1.024642,220.530000,37.740003,-122.462925,0.630252,7.539671
177,1.000855,7.270000,37.748463,-122.410581,0.597183,7.523229
178,1.013026,30.890000,37.762022,-122.430667,0.037037,2.098943
179,1.007167,74.300000,37.782140,-122.441556,0.115909,7.744220
181,1.003248,9.520000,37.777115,-122.443339,0.613636,2.822352
182,1.002521,14.060000,37.734874,-122.439922,0.224409,4.633264
183,1.000244,0.900000,37.786523,-122.453442,0.080321,2.184144
184,1.001981,13.660000,37.718744,-122.411356,0.595331,5.371329
185,1.013508,91.380000,37.733687,-122.426311,0.462908,6.098315
186,1.027724,131.150000,37.782810,-122.467558,0.027273,4.082905
187,1.000164,0.890000,37.749249,-122.414801,0.677686,4.713084
188,1.003448,31.980000,37.741180,-122.388400,0.148052,7.297840
190,1.011971,167.300000,37.745669,-122.435787,0.355619,10.755929
191,1.016284,151.260000,37.774299,-122.458330,0.405896,7.746121
192,1.003536,13.630000,37.764387,-122.435364,0.061644,2.778369
195,1.023986,154.880000,37.749159,-122.416213,0.524528,4.901497
197,1.002617,15.600000,37.765280,-122.445995,0.240860,5.168591
198,1.002607,12.270000,37.771127,-122.424435,0.200000,4.038264
200,1.008663,85.020000,37.803082,-122.418161,0.016878,8.738940
201,1.001114,1.940000,37.744081,-122.433397,0.375000,1.315066
202,1.022010,120.910000,37.709241,-122.453173,0.368159,4.139005
203,1.009382,73.290000,37.761965,-122.445258,0.358871,6.484805
204,1.006863,26.720000,37.726354,-122.408557,0.797468,2.767081
205,1.004796,11.290000,37.728372,-122.448942,0.305344,1.927460
206,1.008843,36.630000,37.719142,-122.411021,0.214286,3.299550
207,1.000752,3.670000,37.743839,-122.424476,0.651934,3.677710
208,1.007271,33.980000,37.760325,-122.391415,0.311966,3.978895
209,1.029819,200.840000,37.723979,-122.456539,0.097765,5.766537
211,1.017460,228.390000,37.707889,-122.485908,0.001684,10.631943
212,1.004731,46.060000,37.745669,-122.435787,0.336614,7.485624
213,1.001159,9.410000,37.785729,-122.406277,0.033217,6.077890
214,1.001922,19.040000,37.765341,-122.477381,0.767658,7.159033
216,1.003199,15.010000,37.759841,-122.476900,0.726415,3.667052
217,1.022002,54.780000,37.775691,-122.454956,0.494505,1.911530
219,1.010339,41.460000,37.730258,-122.437407,0.796000,3.053609
220,1.007157,84.080000,37.721030,-122.391413,0.036260,10.295204
221,1.000171,0.960000,37.759090,-122.491878,0.894068,3.977648
222,1.006767,61.220000,37.746405,-122.455591,0.386233,7.500674
223,1.001303,5.670000,37.765565,-122.411357,0.290323,3.365361
224,1.001198,7.560000,37.745682,-122.452355,0.182254,4.967839
225,1.023154,235.620000,37.756304,-122.432339,0.477376,8.016000
226,1.002078,22.680000,37.788765,-122.402023,0.198819,9.760346
227,1.001360,13.900000,37.732321,-122.484532,0.001761,7.690855
228,1.012758,102.320000,37.786153,-122.402099,0.014888,6.835173
229,1.000598,2.450000,37.741180,-122.388400,0.481675,3.317198
230,1.001829,13.770000,37.738674,-122.491532,0.504673,5.976313
231,1.000575,5.110000,37.784025,-122.454524,0.482385,5.515922
232,1.004195,26.940000,37.769312,-122.496278,0.180124,5.613565
234,1.000480,2.590000,37.720956,-122.446462,0.143911,4.880370
236,1.000521,3.100000,37.771127,-122.424435,0.241848,4.741329
237,1.013026,128.070000,37.705154,-122.470771,0.092520,8.775573
238,1.020108,169.720000,37.719109,-122.384582,0.003021,6.715462
239,1.002307,11.500000,37.742928,-122.455437,0.625731,3.880898
240,1.004896,24.240000,37.739007,-122.424981,0.654028,4.303568
241,1.000615,1.370000,37.803053,-122.411300,0.610000,1.504940
243,1.058371,371.160000,37.730550,-122.454221,0.148936,5.613242
244,1.008030,64.340000,37.781152,-122.433975,0.862434,5.459845
245,1.000969,9.370000,37.769312,-122.496278,0.194215,7.524766
246,1.042380,469.670000,37.777397,-122.416190,0.364522,9.802293
247,1.004208,41.840000,37.743418,-122.467802,0.201183,8.039883
248,1.006150,32.850000,37.780051,-122.455944,0.003817,4.192101
249,1.013249,106.400000,37.783643,-122.459063,0.295711,6.362577
250,1.006062,70.360000,37.785469,-122.416297,0.868613,6.566539
251,1.000359,2.020000,37.762033,-122.415016,0.452675,5.021963
253,1.010518,92.590000,37.715585,-122.441716,0.063084,7.295542
254,1.005237,48.770000,37.734186,-122.459452,0.674227,7.390592
256,1.001444,9.270000,37.769524,-122.413386,0.358804,5.557137
257,1.003887,29.020000,37.765459,-122.477167,0.547558,5.561936
259,1.008305,74.620000,37.746650,-122.463724,0.776031,7.515910
262,1.025732,115.160000,37.732858,-122.404623,0.575610,3.013103
264,1.004791,25.630000,37.749189,-122.417075,0.361905,3.915997
265,1.020120,190.150000,37.726826,-122.472274,0.093596,7.868053
266,1.009586,141.800000,37.739937,-122.424257,0.547401,12.856353
267,1.002924,32.130000,37.745691,-122.461236,0.505731,8.042418
268,1.001840,17.520000,37.783971,-122.408094,0.130841,8.475594
270,1.039030,299.620000,37.797861,-122.406737,0.044231,6.198350
272,1.016143,131.110000,37.760708,-122.497365,0.001992,6.282767
273,1.027063,177.870000,37.719488,-122.447595,0.103321,5.149275
274,1.001922,14.090000,37.769481,-122.413543,0.128205,6.033741
275,1.002195,14.340000,37.748649,-122.438193,0.826220,5.094426
277,1.036669,257.430000,37.784941,-122.400585,0.036313,6.181425
279,1.005030,47.640000,37.780496,-122.451888,0.400932,7.208170
280,1.011248,51.700000,37.774898,-122.424326,0.022222,3.671045
281,1.001015,10.630000,37.772478,-122.484258,0.332731,8.684517
282,1.000355,2.330000,37.733432,-122.433193,0.529801,5.258626
283,1.002886,5.890000,37.771202,-122.408413,0.571429,1.689046
284,1.013089,151.370000,37.748409,-122.408847,0.158672,9.899241
288,1.001519,17.860000,37.780585,-122.470711,0.008929,8.813895
289,1.022034,241.970000,37.777818,-122.453327,0.328740,9.529497
291,1.005574,51.920000,37.793761,-122.431561,0.004525,6.966407
293,1.034130,317.930000,37.779716,-122.398153,0.153132,8.337143
294,1.027920,202.670000,37.712550,-122.467097,0.081433,6.361905
296,1.001108,4.210000,37.739674,-122.465121,0.209184,3.093484
297,1.023442,203.660000,37.804312,-122.415908,0.010127,7.783191
298,1.022461,274.520000,37.775251,-122.419277,0.051155,10.857166
299,1.012404,137.210000,37.744030,-122.422575,0.449664,8.911656
300,1.001624,14.700000,37.728775,-122.417206,0.823404,6.787563
301,1.003268,23.160000,37.783923,-122.456950,0.613426,4.772523
302,1.001245,8.090000,37.761024,-122.432917,0.702422,5.332878
303,1.002538,26.660000,37.761868,-122.446837,0.778689,7.749912
304,1.001049,7.660000,37.769357,-122.426506,0.579114,6.422045
306,1.004680,19.810000,37.715954,-122.474684,0.664577,2.476968
307,1.003567,38.130000,37.719444,-122.479827,0.222222,8.819618
308,1.002857,20.120000,37.774299,-122.458330,0.475083,6.376865
309,1.051435,287.500000,37.797861,-122.406737,0.156550,4.898146
310,1.032917,19.150000,37.786529,-122.414822,0.040000,0.431068
311,1.008463,65.240000,37.744457,-122.428968,0.304455,6.156809
312,1.013030,144.310000,37.771864,-122.423701,0.758364,8.672545
313,1.000501,3.430000,37.723273,-122.452976,0.349869,6.306571
314,1.042024,279.680000,37.785729,-122.406277,0.228916,6.001164
315,1.040529,212.000000,37.786209,-122.409800,0.032000,4.022982
316,1.015267,192.430000,37.723979,-122.456539,0.319527,9.824623
317,1.022170,221.400000,37.761178,-122.398459,0.087805,8.480964
318,1.003142,22.870000,37.731163,-122.482573,0.168342,6.216847
319,1.005725,27.760000,37.736609,-122.431377,0.931559,3.701183
321,1.000676,6.590000,37.771248,-122.479539,0.277228,8.095246
322,1.019155,63.910000,37.769244,-122.408532,0.608939,3.056684
323,1.013458,147.590000,37.739858,-122.424378,0.627753,9.638105
324,1.034862,107.900000,37.752102,-122.398549,0.072993,2.580676
325,1.012304,65.700000,37.800797,-122.454601,0.347079,3.864983
326,1.009516,75.690000,37.706777,-122.486009,0.160183,5.983211
327,1.001554,10.000000,37.769357,-122.426506,0.519084,3.821689
328,1.000227,4.330000,37.767422,-122.401997,0.512224,2.227257
329,1.017206,189.480000,37.771127,-122.424435,0.160714,8.896928
330,1.009412,85.430000,37.762757,-122.460868,0.139186,6.740830
332,1.011525,126.100000,37.722696,-122.502204,0.001876,8.657393
333,1.014948,136.540000,37.782518,-122.474036,0.154589,7.775254
334,1.002507,29.610000,37.739937,-122.424257,0.532359,10.593419
335,1.003319,53.340000,37.765807,-122.433266,0.503429,12.479897
336,1.000620,6.910000,37.752702,-122.436467,0.506876,8.736864
339,1.056194,243.760000,37.717935,-122.473172,0.004405,3.918342
340,1.002424,20.560000,37.732550,-122.474917,0.691489,6.854473
341,1.001528,11.640000,37.771127,-122.424435,0.059524,6.133768
342,1.006375,39.590000,37.739628,-122.465246,0.011429,4.078941
343,1.020317,147.590000,37.739858,-122.424378,0.564706,5.803818
344,1.007566,42.810000,37.746819,-122.443932,0.508772,4.138129
345,1.013723,66.000000,37.785401,-122.424317,0.720183,4.728393
346,1.000792,2.880000,37.731024,-122.429825,0.897959,3.172219
347,1.008734,62.720000,37.743172,-122.451201,0.073286,4.814404
348,1.001072,8.310000,37.765289,-122.478323,0.486957,5.564765
350,1.006474,50.120000,37.750908,-122.469037,0.040476,5.600993
351,1.010851,92.220000,37.756157,-122.475553,0.432039,6.466923
352,1.001939,7.040000,37.798965,-122.420789,0.270833,3.166993
353,1.016386,220.260000,37.783643,-122.459063,0.256563,10.356646
355,1.000701,5.250000,37.704974,-122.467717,0.002740,6.484984
356,1.025626,187.980000,37.739762,-122.423672,0.411765,6.666419
357,1.009638,53.160000,37.779666,-122.503983,0.083665,4.359588
359,1.001281,7.280000,37.738674,-122.491532,0.298893,4.375067
360,1.017341,97.530000,37.784885,-122.427984,0.165919,4.902500
361,1.024990,144.390000,37.722970,-122.444760,0.327703,5.216143
362,1.019389,200.310000,37.783643,-122.459063,0.404800,7.856182
364,1.080951,964.650000,37.720107,-122.447152,0.117739,10.811518
365,1.000288,2.130000,37.737128,-122.396441,0.820225,6.461941
366,1.028396,124.930000,37.768530,-122.405004,0.586777,3.878871
367,1.017205,74.410000,37.786631,-122.459275,0.394558,3.485111
368,1.002385,18.980000,37.795725,-122.401694,0.002353,7.272624
369,1.004798,7.530000,37.806440,-122.422310,0.142857,1.181344
371,1.005862,45.190000,37.730107,-122.458180,0.536058,6.430198
372,1.011292,82.890000,37.746932,-122.407050,0.009091,6.346491
373,1.040105,355.960000,37.770486,-122.495374,0.001650,7.050204
375,1.001989,13.010000,37.749428,-122.438423,0.196667,6.121152
376,1.017493,141.090000,37.772856,-122.418503,0.506631,7.275063
377,1.026642,66.170000,37.770402,-122.452089,0.009804,2.191334
378,1.005128,11.760000,37.713151,-122.433862,0.803738,1.524219
379,1.001992,17.970000,37.765280,-122.445995,0.523729,6.331777
381,1.000379,1.370000,37.745669,-122.435787,0.618705,3.007570
382,1.012607,118.840000,37.743960,-122.472553,0.002155,7.166130
383,1.003008,9.280000,37.721499,-122.445985,0.483871,2.625069
384,1.026296,156.220000,37.768098,-122.424374,0.049738,4.662090
386,1.002224,2.190000,37.802218,-122.417956,0.758170,0.848495
387,1.010625,34.530000,37.789242,-122.459472,0.538012,2.314166
388,1.013783,178.460000,37.791637,-122.447688,0.540052,9.760720
389,1.012118,170.010000,37.788295,-122.445586,0.449438,10.578192
390,1.002991,14.820000,37.724999,-122.484765,0.533537,3.687831
391,1.002674,13.200000,37.777505,-122.418152,0.417526,3.891929
392,1.001633,10.530000,37.752084,-122.434300,0.002427,4.642898
395,1.019955,20.460000,37.794177,-122.428291,0.017544,0.860416
397,1.000510,3.100000,37.773414,-122.421570,0.078431,5.387864
398,1.011509,39.640000,37.794269,-122.435031,0.034351,2.493849
400,1.011441,114.440000,37.769105,-122.435054,0.373650,9.144077
401,1.004817,38.420000,37.752758,-122.436588,0.542929,6.482487
402,1.018330,90.030000,37.738059,-122.407028,0.274900,3.456203
403,1.015930,150.420000,37.724591,-122.434898,0.424063,6.358109
405,1.014185,115.730000,37.711212,-122.390290,0.024554,7.260631
406,1.003246,31.730000,37.748268,-122.418173,0.649007,7.926057
408,1.029927,110.090000,37.801112,-122.438947,0.005348,2.913286
410,1.013702,131.150000,37.742857,-122.478806,0.134118,8.167830
411,1.004482,37.650000,37.779678,-122.438630,0.066852,6.352655
412,1.002747,11.950000,37.781016,-122.413710,0.532663,3.553717
413,1.000465,3.440000,37.771147,-122.479531,0.756329,6.323897
414,1.000533,4.200000,37.765287,-122.443325,0.345083,6.307017
415,1.001745,13.200000,37.748078,-122.422550,0.426471,5.594524
417,1.001022,2.700000,37.777260,-122.407414,0.033613,2.170852
418,1.009143,39.470000,37.739007,-122.424981,0.254902,3.364162
419,1.003528,15.030000,37.723719,-122.455475,0.930769,3.311601
420,1.002522,12.050000,37.754835,-122.470936,0.226913,3.264967
421,1.000490,5.450000,37.773414,-122.421570,0.389590,9.073433
422,1.038083,304.230000,37.781073,-122.427213,0.384401,6.080709
424,1.013538,61.470000,37.751917,-122.423922,0.036082,3.799372
425,1.010433,28.590000,37.761868,-122.446837,0.236842,2.025164
428,1.001905,26.260000,37.791637,-122.447688,0.461039,10.465955
430,1.013933,95.320000,37.705419,-122.467798,0.165761,5.712133
432,1.003713,13.080000,37.800964,-122.412694,0.070968,2.706270
435,1.001575,6.400000,37.728641,-122.426056,0.371134,3.201467
436,1.003891,30.880000,37.766571,-122.459711,0.716292,5.841797
437,1.002898,12.210000,37.740003,-122.462925,0.692308,3.419792
438,1.011440,198.450000,37.769813,-122.399183,0.307443,8.251280
439,1.026293,129.090000,37.745486,-122.435770,0.211111,4.538806
442,1.000831,4.910000,37.737256,-122.480504,0.019355,5.085844
445,1.017367,134.010000,37.782472,-122.392876,0.003135,6.705391
446,1.003883,39.870000,37.774696,-122.392055,0.811558,6.274059
447,1.018948,149.340000,37.800368,-122.439534,0.032609,6.264158
448,1.007207,42.530000,37.752303,-122.396637,0.226481,4.492826
449,1.004954,39.920000,37.758457,-122.463790,0.449893,6.611402
450,1.005719,20.490000,37.777933,-122.489881,0.748299,2.812428
451,1.031740,179.710000,37.733364,-122.391295,0.004348,5.029361
452,1.015906,174.570000,37.732888,-122.404856,0.179903,9.552055
453,1.014051,164.230000,37.776247,-122.443057,0.520231,10.203685
454,1.011346,115.740000,37.757532,-122.470175,0.313433,8.063173
455,1.000119,0.590000,37.726826,-122.472274,0.200000,4.259263
456,1.003653,21.200000,37.791899,-122.446206,0.531335,4.407913
457,1.017489,187.360000,37.775251,-122.419277,0.084871,8.984788
458,1.001012,7.670000,37.761777,-122.437307,0.720222,6.727319
459,1.000222,2.710000,37.763761,-122.433635,0.652921,10.658678
460,1.054186,355.290000,37.736629,-122.424287,0.179167,5.646853
461,1.005833,32.840000,37.760129,-122.470356,0.013746,4.045289
462,1.066622,176.970000,37.764778,-122.402688,0.093023,2.120279
463,1.007402,28.270000,37.786918,-122.459440,0.852174,3.425382
464,1.004636,30.370000,37.780481,-122.412635,0.036913,6.196288
466,1.000146,0.910000,37.734689,-122.471463,0.709677,5.248255
